,DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,energy_vectors_used,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max
1928,7,1950,2634,,208.44,797.34,208.44,0.0,1067.27,0.0,773.8,23.54,0.7094,2.8638,0.1688,131560.5,0.7471,7.03,1,"
						",33.86,2006.0,290.9467,50602.14,50597.45,0.0,0,2.232,0.0,0.0,28.8774,0.0,321.0873,1.2632,5.120274419497218,0.834,1889.1995829484142,6.9479999999999995,12.32695144,True,11.600940717906434
1931,4,1912,3334,,315.2,957.99,315.2,315.2,1833.67,1833.67,880.16,107.16,1.6387,3.0915,0.0914,258740.3,0.5224,34.23,31,"
						",180.0,2019.0,476.7547,111515.77,111324.26,0.0,0,0.4834,0.0,0.0,33.7699,0.0,523.6258,13.1012,5.817480964467006,0.741,3144.057404133711,10.506666666666666,35.472066639999994,True,10.210604961634317
1932,13,1970,2563,1.0,2305.76,9838.47,4153.44,0.0,21535.77,0.0,8842.69,995.78,0.5642,2.0352,0.2522,1988319.0,0.4568,452.16,1,"
						",849.0,2018.0,160.8951,558530.21,558374.49,0.0,0,1.1421,0.0,0.0,50.531,2.0762,220.0172,6.5148,5.185044204322201,0.836,37712.93652796181,138.44799999999998,140.31314308,True,11.456025765505483
1935,4,1993,3083,0.0,206.35,862.55,206.35,0.0,906.09,0.0,761.15,99.43,0.8862,1.8552,0.2982,74751.35,0.952,0.04,0,,50.0,2005.0,340.94,51762.13,51762.14,306.1547,0,0.496185722006689,0.0,0.0,38.21,0.0,382.46,3.3,4.391034649866731,0.736,1667.5849644147163,6.878333333333333,17.17987332,True,13.527563487070818
1936,4,1970,2699,-1.0,293.67,864.41,293.67,0.0,1337.44,0.0,836.08,28.33,0.2292,1.0331,0.0158,142627.2,0.6463,1.83,1,"
						",74.14,2019.0,42.4037,10896.66,10871.64,0.0,0,0.3303,0.0,0.0,15.0172,0.0,65.646,8.2251,4.554227534307215,0.873,2432.0627601223014,9.789,4.417945179999999,True,13.0428265940902
1937,4,1950,3091,0.0,197.81,598.32,197.81,197.81,821.31,821.31,576.16,30.2,1.2112,3.3119,0.2187,98721.95,0.7285,0.0,1,"
						",34.1,2009.0,232.62,34991.64,34981.74,0.0,0,0.5027,0.0,0.0,190.7064,0.0,425.9728,2.6464,4.152014559425711,0.76,1535.3576715852537,6.593666666666667,15.95728744,True,14.306308214924941
1939,4,2000,2426,,865.0801,1019.33,865.08,865.08,3888.67,3888.67,947.83,71.5,0.1843,2.295,0.0083,293179.6,0.2621,8.56,5,"
						",70.9,2020.0,21.1837,36896.63,14262.47,5747.0449,1,0.8323,23.7456,24.0924,47.8288,2.1148,124.8127,5.8474,4.4951565173163175,0.778,7069.365779629468,28.836000000000002,6.775551379999999,True,13.214222857686563
1940,4,1950,2600,0.0,795.24,1652.87,795.24,795.24,2930.33,2930.33,1568.19,129.54,1.6413,2.6441,0.6156,421004.1,0.5641,16.98,1,"
						",111.81,2015.0,231.3279,138896.2,138896.2,0.0,0,0.5098,0.0,0.0,56.8715,0.0,288.1994,0.0,3.6848372818268698,0.755,5638.0988529307515,26.508,58.32773922,True,16.120114799357072
1942,13,1964,2550,0.0,779.5899,2950.62,1381.99,0.0,6120.02,0.0,2730.24,285.54,1.2663,2.7262,0.4262,601842.5,0.4821,120.5,1,"
						",276.41,2003.0,401.8125,336782.75,336737.62,0.0,0,1.2944,0.0,0.0,36.4072,0.0,439.7715,1.5518,4.4284112041331705,0.606,11162.267016558138,46.06633333333333,84.7148412,True,13.413388518338175
1943,13,1932,2668,0.0,449.493,962.77,449.49,0.0,2703.43,0.0,702.88,64.9,1.8338,5.8,0.1627,143224.64,0.3561,44.88,1,,70.1,2017.0,318.3107,102555.81,99430.78,3717.2388,0,1.881,0.0,0.0,14.6383,0.0,388.943,55.994,6.014438585952968,0.695,4594.769439788866,14.983,33.30722688,True,9.876233525558273
