DPR412_classification,construction_year,degree_days,floors,net_area,heat_loss_surface,heated_usable_area,cooled_usable_area,heated_gross_volume,cooled_gross_volume,total_opaque_surface,total_glazed_surface,average_opaque_surface_transmittance,average_glazed_surface_transmittance,yie,Cm,surface_to_volume_ratio,Asol,system_type,nominal_power,installation_year,EPh,QHnd,QHimp,total_effective_ventilation_flow,ventilation_type,air_changes,EPv,EPc,EPl,EPt,EPgl,EPw,Interfloor,system_performance,corridor,aereo,theoric_nominal_power,Area_check,air_changes_max,cluster
13,1930,2617,0.0,10746.95,18812.64,10746.95,0.0,56230.54,0.0,15779.18,3033.46,1.2567,3.2336,0.4158,6280337.0,0.3346,1404.68,0,2076.2,1995.0,271.1348,1866285.07,1866238.51,0.0,0,0.64,0.0,0.0,36.8426,0.9012,309.6313,0.7527,5.232232400820697,0.64,98233.15351890789,358.2316666666667,592.77383524,True,11.352706731964515,2
13,1970,2537,4.0,9471.148,14511.33,9471.15,98.71,36713.88,354.27,13346.24,1165.09,0.9788,2.8044,0.6499,3345320.0,0.3953,586.26,1,2502.16,2000.0,173.3269,1328457.83,1328112.07,0.0,0,1.1146,0.0,0.0074,44.915,0.0,218.5518,0.3025,3.8763909345749985,0.809,69447.58428908279,315.705,326.61356215999996,True,15.32353186315366,2
13,1934,2617,0.0,6796.611,10422.35,6796.61,1512.99,42503.39,10364.61,8915.85,1506.5,1.2541,4.6069,0.0854,1719693.0,0.2452,591.49,1,1698.0,2022.0,246.5283,1211870.89,1188985.08,12353.6904,1,0.64,2.4825,8.5504,44.7056,0.7398,306.319,3.3123,6.253616140987934,0.71,71389.59239881056,226.55366666666663,362.4332467,True,9.498504331066298,2
13,1850,2617,,5239.42,7910.5,5239.42,0.0,28407.04,0.0,6532.22,1378.28,0.9363,4.0294,0.1028,2152300.0,0.2785,794.99,1,884.7,2021.0,195.8338,848792.34,848736.48,0.0,0,0.9336,0.0,0.0,44.2862,0.7096,242.6824,1.8528,5.4217909615949855,0.827,49224.08754342742,174.64733333333334,233.39518036,True,10.955789409949084,2
11,1971,2617,0.0,2101.21,5348.22,2101.21,2101.21,7940.19,7940.19,4760.31,451.25,1.58,4.5389,0.52,398870.88,0.6736,0.1,0,451.51,1991.0,638.1446,860007.24,859658.32,2822.5,0,4.8,0.0,13.8609,0.0178,0.0,665.1075,13.0843,3.778865510824715,0.641,15142.73403839294,70.04033333333334,191.3893685,True,15.719003449539622,2
13,1980,2815,,10307.61,13613.34,10307.61,0.0,37223.55,0.0,12039.28,1915.46,1.0388,2.6256,0.5607,3582624.0,0.3657,444.08,0,2418.66,1989.0,170.0989,1221423.98,1367507.32,62153.3984,1,4.5867,8.3972,0.0,44.6356,0.4204,224.3989,0.8468,3.611268761623694,0.78,71935.43682954069,343.58700000000005,350.7127168,True,16.44851267544337,2
13,1900,2617,,7838.22,13832.71,7838.22,0.0,44938.93,0.0,12053.59,1779.12,1.2525,3.4644,0.1623,2282394.0,0.3078,319.86,1,1161.08,2021.0,242.1769,1547770.56,1547714.69,0.0,0,0.64,0.0,0.0,41.1405,0.9527,285.5086,1.2385,5.733308072496051,0.815,76888.2025598764,261.274,425.21409606,True,10.360510764274984,2
13,1970,2537,4.0,7911.39,10723.36,7911.39,0.0,33448.02,0.0,9707.03,1016.33,0.8709,3.5945,0.713,1769351.0,0.3206,587.71,1,2605.39,2017.0,176.6411,1014976.15,1037628.51,8000.1328,2,1.8274,0.8928,0.0,39.1058,0.5552,217.7228,0.5279,4.227831013260627,0.743,61720.724190714194,263.713,242.14101224,True,14.04975738474206,2
13,1990,2617,3.0,6265.901,12495.99,6265.9,0.0,31356.87,0.0,11012.74,1483.25,0.9107,3.264,0.5489,2134979.0,0.3985,650.5,1,1161.92,2017.0,223.8847,975296.91,974273.9,0.0,0,0.7869,0.0,0.0,43.0985,0.6484,269.1744,1.5427,5.004368087585183,0.695,55376.00333682089,208.86333333333332,297.41260636,True,11.869630482889397,2
13,1850,2617,0.0,13919.69,23189.34,13919.69,0.0,79322.8,0.0,21386.06,1803.29,1.0492,4.053,0.1354,5665228.0,0.2923,849.15,1,2785.16,1997.0,213.7956,2215222.3,2215222.3,0.0,0,0.7331,0.0,0.0,45.7415,0.6081,260.1452,0.0,5.698603920058565,0.744,135886.20519160514,463.98966666666666,594.93977044,True,10.423605646800164,2
